Variable name,Variable Description
la,Local authority name
all,Total no. commuters
bicycle,No. cyclists in Census 2011
foot,No. pedestrians in Census 2011
car_driver,No. car drivers in Census 2011
govtarget_slc,No. cyclists in Government Target
govtarget_slw,No. pedestrians in Government Target
govtarget_sld,No. car drivers in Government Target
gendereq_slc,No. cyclists in Gender Equality
gendereq_slw,No. pedestrians in Gender Equality
gendereq_sld,No. car drivers in Gender Equality
dutch_slc,No. cyclists in Go Dutch
dutch_slw,No. pedestrians in Go Dutch
dutch_sld,No. car drivers in Go Dutch
ebike_slc,No. cyclists in Ebikes
ebike_slw,No. pedestrians in Ebikes
ebike_sld,No. car drivers in Ebikes
govtarget_sldeath_heat,Change in deaths/year in Government Target versus 'no cycling'
govtarget_slvalue_heat,Value (millions of £) of change in deaths in Government Target versus 'no cycling' 
govtarget_sideath_heat,Change in deaths/year in Government Target versus Census 2011
govtarget_sivalue_heat,Value (millions of £) of change in deaths in Government Target versus Census 2011
gendereq_sldeath_heat,Change in deaths/year in Gender Equality versus 'no cycling'
gendereq_slvalue_heat,Value (millions of £) of change in deaths in Gender Equality versus 'no cycling' 
gendereq_sideath_heat,Change in deaths/year in Gender Equality versus Census 2011
gendereq_sivalue_heat,Value (millions of £) of change in deaths in Gender Equality versus Census 2011
dutch_sldeath_heat,Change in deaths/year in Go Dutch versus 'no cycling'
dutch_slvalue_heat,Value (millions of £) of change in deaths in Go Dutch versus 'no cycling' 
dutch_sideath_heat,Change in deaths/year in Go Dutch versus Census 2011
dutch_sivalue_heat,Value (millions of £) of change in deaths in Go Dutch versus Census 2011
ebike_sldeath_heat,Change in deaths/year in Ebikes versus 'no cycling'
ebike_slvalue_heat,Value (millions of £) of change in deaths in Ebikes versus 'no cycling' 
ebike_sideath_heat,Change in deaths/year in Ebikes versus Census 2011
ebike_sivalue_heat,Value (millions of £) of change in deaths in Ebikes versus Census 2011
govtarget_slco2,Change in CO2/year (tonnes) in Government Target versus 'no cycling'
govtarget_sico2,Change in CO2/year (tonnes) in Government Target versus Census 2011
gendereq_slco2,Change in CO2/year (tonnes) in Gender Equality versus 'no cycling'
gendereq_sico2,Change in CO2/year (tonnes) in Gender Equality versus Census 2011
dutch_slco2,Change in CO2/year (tonnes) in Go Dutch versus 'no cycling'
dutch_sico2,Change in CO2/year (tonnes) in Go Dutch versus Census 2011
ebike_slco2,Change in CO2/year (tonnes) in Ebikes versus 'no cycling'
ebike_sico2,Change in CO2/year (tonnes) in Ebikes versus Census 2011
